unique id,submission type,timestamp,citizenship,residence,gender,degrees held,occupation,career experience,academic field,area of interest,event participation,skills,how heard
42289100,submitted,6/6/16 10:40,United States of America,United States of America,female,bachelors,nonprofit,6-10 years,"Humanities - Philosophy, ethics and religion",open_education,"openaccessweek, openeducationweek","advocacy, blogging, comms, community, socialmedia, fudraising, events, volunteers, research",
83410152,submitted,6/6/16 12:48,United Kingdom,Germany,male,"bachelors, masters","phd candidate, journalist",0-1 years,Natural Sciences - Earth and related environmental sciences,open_science,"openaccessweek, opendataday","advocacy, blogging, comms, community, socialmedia, events, research","twitter, other: Nicole tweeted me innit"
48962622,submitted,6/6/16 13:14,Pakistan,Pakistan,male,professional,medical professional,0-1 years,Medicine/Health Sciences - Clinical medicine,open_education,"openaccessweek, openeducationweek, opendataday","blogging, comms, socialmedia, fudraising, events, volunteers, video","facebook, friend"
17510044,final at deadline,6/6/16 13:19,Pakistan,Pakistan,female,bachelors,undergraduate student,0-1 years,Medicine/Health Sciences - Health sciences,open_education,none,"community, fudraising, volunteers, video",facebook
56288350,submitted,6/6/16 13:26,Pakistan,Pakistan,male,bachelors,medical professional,1-5 years,Medicine/Health Sciences - Clinical medicine,open_science,none,"comms, socialmedia, fudraising, volunteers, video",facebook
22312886,submitted,6/6/16 13:39,Indonesia,Indonesia,male,"professional, phd",phd candidate,1-5 years,Medicine/Health Sciences - Basic medicine,open_research,opendataday,research,facebook
11739164,submitted,6/6/16 13:54,Zambia,Zambia,female,bachelors,nonprofit,1-5 years,Social Sciences - Sociology,open_research,"openaccessweek, opendataday","advocacy, blogging, community, socialmedia, fudraising, events, volunteers",websearch
17666461,submitted,6/6/16 13:57,France,United States of America,female,phd,librarian,1-5 years,Humanities - Languages and literature,open_access,openaccessweek,"blogging, socialmedia, events",mailinglist
59201995,submitted,6/6/16 13:57,Germany,Germany,other: non-binary,"bachelors, masters",phd candidate,0-1 years,Natural Sciences - Biological sciences,open_research,opendataday,"advocacy, blogging, socialmedia, fudraising, events, volunteers, research, software","twitter, facebook, blogpost, mailinglist"
13891242,submitted,6/6/16 14:08,Netherlands,United Kingdom,female,masters,"researcher, nonprofit",6-10 years,Social Sciences - Law,open_research,"openaccessweek, opendataday","advocacy, blogging, events, graphics, research",other: I met Joe from OpenButtons last year who suggested I applied and was lucky enough to be selected :-)
65386524,final at deadline,6/6/16 14:22,Nigeria,Nigeria,female,masters,other,6-10 years,None of these describe my field of study,open_access,openaccessweek,"fudraising, volunteers, research",organization
31426308,submitted,6/6/16 14:24,Sudan,Sudan,female,none,undergraduate student,1-5 years,Medicine/Health Sciences - Other medical sciences,open_education,none,"blogging, comms, volunteers",organization
52684485,submitted,6/6/16 14:29,Pakistan,Taiwan,male,masters,phd candidate,1-5 years,Medicine/Health Sciences - Other medical sciences,open_research,none,"blogging, socialmedia, volunteers",facebook
13018408,final at deadline,6/6/16 14:31,Cameroon,Cameroon,female,masters,nonprofit,1-5 years,None of these describe my field of study,open_research,opendataday,"advocacy, comms, community, socialmedia, volunteers, research, other",organization
97201614,submitted,6/6/16 14:36,Ecuador,Ecuador,female,none,"undergraduate student, medical professional",0-1 years,Medicine/Health Sciences - Health sciences,open_research,"openaccessweek, openeducationweek","advocacy, comms, community, socialmedia, fudraising, volunteers, research","mailinglist, friend, organization"
95222599,submitted,6/6/16 14:40,Nigeria,Nigeria,male,none,graduate-professonal student,0-1 years,Medicine/Health Sciences - Clinical medicine,open_access,openaccessweek,advocacy,"twitter, friend, organization"
66836587,final at deadline,6/6/16 14:46,Morocco,Germany,female,"bachelors, masters, phd","postdoc, nonprofit",0-1 years,Natural Sciences - Earth and related environmental sciences,open_education,none,"advocacy, blogging, comms, socialmedia, fudraising, events, volunteers, graphics, video","facebook, friend"
82180263,submitted,6/6/16 14:58,Nigeria,Nigeria,male,bachelors,businessperson,1-5 years,Social Sciences - Political Science,open_government,none,"advocacy, community, socialmedia",friend
30759891,submitted,6/6/16 15:02,Nigeria,Nigeria,male,bachelors,"graduate-professional student, developer",0-1 years,Natural Sciences - Computer and information sciences,open_government,opendataday,"advocacy, community, research, software",blogpost
77754266,submitted,6/6/16 15:28,Cameroon,Cameroon,male,masters,"phd candidate, educator, researcher",0-1 years,Social Sciences - Economics and business,open_research,"openaccessweek, opendataday","comms, community, socialmedia, research","websearch, facebook"
27626434,submitted,6/6/16 15:35,Liberia,Liberia,male,other certification,researcher,1-5 years,Social Sciences - Media and communications,open_research,none,"blogging, comms, community, socialmedia, research",websearch
29468500,submitted,6/6/16 15:43,Nigeria,Nigeria,female,professional,"nonprofit, journalist, medical professional",1-5 years,Medicine/Health Sciences - Clinical medicine,open_education,openeducationweek,blogging,other: OpportunityforAfricans.com
32153500,submitted,6/6/16 15:44,Rwanda,Rwanda,male,bachelors,nonacademic staff,6-10 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_source,none,"graphics, software",websearch
93397627,submitted,6/6/16 15:47,Kenya,Kenya,male,other certification,"undergraduate student, nonprofit",0-1 years,Engineering/Technology - Other engineering and technologies,open_science,"openaccessweek, openeducationweek, opendataday","community, volunteers",websearch
19275972,submitted,6/6/16 15:48,Kenya,Kenya,female,"bachelors, professional, other professional","graduate-professional student, researcher, lawyer",0-1 years,Social Sciences - Law,open_education,"openaccessweek, openeducationweek, opendataday","advocacy, comms, community, socialmedia, volunteers, research","facebook, blogpost, webcast, friend"
77514774,submitted,6/6/16 15:50,Ethiopia,Ethiopia,male,"bachelors, masters",graduate-professonal student,11-15 years,Agricultural Sciences - Other agricultural sciences,open_education,openeducationweek,"advocacy, community, fudraising, other, 'Community Development","facebook, other: As member of YALI Network"
79712177,submitted,6/6/16 15:53,Yemen,Belgium,male,phd,postdoc,0-1 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_source,"openeducationweek, opendataday","research, software",friend
64588887,final at deadline,6/6/16 15:57,Ghana,Ghana,male,bachelors,other,1-5 years,Social Sciences - Economics and business,open_research,"openaccessweek, openeducationweek, opendataday",,"websearch, facebook"
72924740,submitted,6/6/16 15:58,Ghana,Ghana,male,"bachelors, masters","educator, nonprofit, businessperson",6-10 years,Social Sciences - Educational sciences,open_education,none,"advocacy, community, socialmedia, volunteers",websearch
84431691,submitted,6/6/16 16:12,Nigeria,Nigeria,female,"bachelors, other postgraduate, other professional","graduate-professional student, medical professional",1-5 years,Medicine/Health Sciences - Clinical medicine,open_research,opendataday,"advocacy, community, socialmedia, fudraising, volunteers",facebook
83416840,submitted,6/6/16 16:16,United Kingdom,United Kingdom,"other: Non-binary, assigned female at birth","bachelors, masters",phd candidate,6-10 years,Social Sciences - Other social sciences,open_access,openaccessweek,"advocacy, blogging, comms, graphics, research","websearch, twitter, mailinglist, friend, organization, other: ALL THE THINGS"
44475128,submitted,6/6/16 16:22,Nigeria,Nigeria,female,"bachelors, masters","phd candidate, educator, researcher",6-10 years,"Humanities - Art (arts, history of arts, performing arts, music)",open_research,openaccessweek,"advocacy, comms, community, socialmedia, events, volunteers",facebook
59013411,submitted,6/6/16 16:23,Nigeria,Nigeria,male,professional,"undergraduate student, medical professional",0-1 years,Medicine/Health Sciences - Clinical medicine,open_access,openaccessweek,"advocacy, comms, socialmedia, events, volunteers",mailinglist
97628110,submitted,6/6/16 16:29,Burkina Faso,Taiwan,male,"bachelors, masters, other postgraduate, other professional",phd candidate,0-1 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_government,"openaccessweek, openeducationweek, opendataday","community, socialmedia, volunteers, graphics, software",websearch
71855708,submitted,6/6/16 16:43,Nigeria,Nigeria,male,none,undergraduate student,0-1 years,Natural Sciences - Biological sciences,open_education,none,"advocacy, blogging, community, volunteers",organization
77671635,submitted,6/6/16 16:43,India,India,male,none,undergraduate student,0-1 years,"Humanities - Philosophy, ethics and religion",open_source,none,"advocacy, blogging, comms, community, socialmedia, volunteers, graphics, software",twitter
39092512,submitted,6/6/16 16:46,South Sudan,Sudan,male,other certification,"undergraduate student, nonprofit",0-1 years,Medicine/Health Sciences - Basic medicine,open_science,openeducationweek,"advocacy, comms, socialmedia, fudraising, volunteers, graphics, other, 'Leadership",facebook
14286392,submitted,6/6/16 16:51,Ghana,Ghana,female,bachelors,nonprofit,1-5 years,None of these describe my field of study,open_education,openeducationweek,"fudraising, volunteers",facebook
34537315,submitted,6/6/16 17:06,Malta,Malta,male,none,undergraduate student,0-1 years,Medicine/Health Sciences - Clinical medicine,open_science,none,"advocacy, community, fudraising",mailinglist
64689189,submitted,6/6/16 17:09,Sudan,Sudan,female,none,undergraduate student,0-1 years,Medicine/Health Sciences - Clinical medicine,open_science,openeducationweek,"advocacy, comms, socialmedia, fudraising, volunteers",facebook
87262927,submitted,6/6/16 17:15,Nigeria,Nigeria,male,bachelors,developer,6-10 years,Natural Sciences - Computer and information sciences,open_source,none,software,"mailinglist, friend"
68090449,final at deadline,6/6/16 17:16,United States of America,United States of America,female,"bachelors, masters, professional",librarian,1-5 years,Humanities - History and archaeology,open_access,"openaccessweek, opendataday","advocacy, community, events, volunteers, video, research",other
61891223,submitted,6/6/16 17:17,Brazil,Brazil,male,"bachelors, masters",phd candidate,1-5 years,None of these describe my field of study,open_research,openaccessweek,"advocacy, volunteers, research, software",mailinglist
33439231,submitted,6/6/16 17:17,Iraq,Iraq,male,phd,phd candidate,0-1 years,Engineering/Technology - Medical engineering,open_access,"openaccessweek, openeducationweek, opendataday",software,friend
69413166,submitted,6/6/16 17:19,Nigeria,Nigeria,male,masters,nonprofit,16+ years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_education,"openeducationweek, opendataday","advocacy, blogging, comms, community, socialmedia, events, volunteers",mailinglist
56428692,submitted,6/6/16 17:19,United States of America,United States of America,male,phd,postdoc,1-5 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_access,none,"advocacy, volunteers, research, software",organization
51348959,submitted,6/6/16 17:21,Mauritius,Mauritius,female,other certification,government,6-10 years,Social Sciences - Educational sciences,open_education,openeducationweek,"comms, community, volunteers",facebook
87179097,submitted,6/6/16 17:24,Ghana,Ghana,male,bachelors,"nonacademic staff, government",1-5 years,Natural Sciences - Computer and information sciences,open_research,opendataday,"advocacy, community, events, volunteers","websearch, friend"
57974026,submitted,6/6/16 17:28,Serbia,Serbia,male,none,undergraduate student,0-1 years,Social Sciences - Other social sciences,open_access,openaccessweek,"socialmedia, fudraising, events, volunteers",websearch
